UId,created,Id_user_data,psicological_feature,biological_feature,personal_feature
,,134,3.4,2.0,3.1666666666666665
,,135,1.4,3.25,2.8333333333333335
,,136,3.2,2.75,3.0
,,137,2.4,2.25,2.3333333333333335
,,138,1.8,2.0,4.166666666666667
,,139,1.8,1.25,1.5
,,140,2.0,2.25,4.333333333333333
,,141,3.2,2.75,2.0
,,142,2.0,2.5,2.8333333333333335
,,143,1.8,1.25,1.6666666666666667
,,144,2.6,3.25,2.6666666666666665
,,145,1.8,1.75,2.6666666666666665
,,146,1.6,2.5,2.5
,,147,2.0,2.5,2.8333333333333335
,,148,2.0,1.5,3.1666666666666665
,,149,2.8,2.75,2.5
,,150,1.8,2.0,2.5
,,151,2.2,3.0,2.6666666666666665
,,152,2.8,2.75,3.3333333333333335
,,153,1.4,2.5,2.6666666666666665
,,154,3.2,3.0,2.8333333333333335
,,155,2.2,2.5,2.3333333333333335
,,156,1.8,3.5,3.6666666666666665
,,157,2.8,3.0,2.5
,,158,1.4,2.5,3.1666666666666665
,,159,2.8,2.75,2.6666666666666665
,,160,1.4,2.0,3.3333333333333335
,,161,2.2,1.5,1.1666666666666667
,,162,2.6,3.5,3.0
,,163,3.4,2.5,2.8333333333333335
,,164,1.8,2.0,2.5
,,165,3.4,3.0,1.6666666666666667
,,166,1.8,2.25,2.6666666666666665
,,167,2.4,2.75,3.0
,,168,2.6,2.25,3.5
,,169,2.4,3.5,2.5
,,170,2.0,2.5,3.1666666666666665
,,171,2.8,2.75,2.3333333333333335
,,172,2.4,2.25,2.1666666666666665
,,173,3.6,2.0,3.6666666666666665
,,174,3.6,3.5,2.5
,,175,2.2,2.75,2.5
,,176,2.4,1.75,2.8333333333333335
,,177,2.8,2.5,2.5
,,178,3.2,2.25,2.8333333333333335
,,179,2.8,3.0,2.5
,,180,1.8,2.25,2.3333333333333335
,,181,2.0,2.25,2.6666666666666665
,,182,2.2,2.75,3.1666666666666665
,,183,2.4,2.25,2.6666666666666665
,,184,2.4,2.75,3.0
,,185,2.4,1.5,3.0
,,186,2.4,3.0,2.0
,,187,2.0,2.0,3.1666666666666665
,,188,2.6,1.75,2.8333333333333335
,,189,1.2,2.25,3.1666666666666665
,,190,3.0,1.5,3.1666666666666665
,,191,3.8,2.75,3.1666666666666665
,,192,4.0,2.0,3.5
,,193,3.0,3.25,2.8333333333333335
,,194,2.6,1.0,2.6666666666666665
,,195,4.2,3.0,4.833333333333333
,,196,3.2,2.0,2.3333333333333335
,,197,3.6,2.25,3.0
,,198,2.6,2.25,2.1666666666666665
,,199,4.0,3.75,2.6666666666666665
,,200,1.8,1.75,3.1666666666666665
,,201,2.8,2.5,3.0
,,202,1.8,2.0,3.3333333333333335
,,203,4.0,3.5,3.0
,,204,1.8,2.0,2.3333333333333335
,,205,3.2,3.75,3.0
,,206,2.6,2.5,2.6666666666666665
,,207,3.4,2.75,2.5
,,208,2.2,2.5,3.3333333333333335
,,209,3.8,3.0,3.6666666666666665
,,210,2.6,1.75,3.3333333333333335
,,211,3.4,2.75,3.0
,,212,2.2,1.75,3.5
,,213,2.6,2.0,2.3333333333333335
,,214,3.2,1.75,2.6666666666666665
,,215,3.2,2.5,2.6666666666666665
,,216,2.0,2.75,2.8333333333333335
,,217,1.8,3.0,3.3333333333333335
,,218,2.8,3.75,2.1666666666666665
,,219,3.6,3.25,1.8333333333333333
,,220,2.2,1.75,2.8333333333333335
,,221,2.2,3.75,2.8333333333333335
,,222,2.6,2.5,2.3333333333333335
,,223,3.2,3.0,3.0
,,224,2.2,1.75,3.0
,,225,2.2,3.75,3.5
,,226,3.0,2.25,1.8333333333333333
,,227,2.8,3.0,1.6666666666666667
,,228,2.6,2.5,2.0
,,229,1.4,1.75,3.1666666666666665
,,230,1.8,2.5,3.8333333333333335
,,231,2.2,2.5,2.5
,,232,2.6,3.0,2.3333333333333335
,,233,2.2,2.5,3.1666666666666665
,,234,2.4,3.25,2.1666666666666665
,,235,2.6,2.5,4.333333333333333
,,236,2.8,3.25,2.3333333333333335
,,237,2.0,1.5,2.3333333333333335
,,238,3.6,3.0,2.5
,,239,2.0,1.75,3.5
,,240,2.8,2.25,2.6666666666666665
,,241,3.4,3.0,3.6666666666666665
,,242,3.0,2.75,2.5
,,243,3.4,3.25,3.8333333333333335
,,244,3.8,4.0,4.333333333333333
,,245,2.6,3.0,2.3333333333333335
,,246,3.0,3.0,3.6666666666666665
,,247,3.8,2.0,3.1666666666666665
,,248,2.6,2.75,3.6666666666666665
,,249,2.8,2.5,2.6666666666666665
,,250,2.4,3.25,2.5
,,251,2.8,2.0,2.6666666666666665
,,252,1.8,3.25,3.0
,,253,3.0,2.5,2.6666666666666665
,,254,2.0,2.0,2.6666666666666665
,,255,3.2,3.0,4.0
,,256,2.4,2.5,1.8333333333333333
,,257,2.6,2.25,2.5
,,258,3.0,3.0,3.3333333333333335
,,259,2.8,3.0,2.5
,,260,1.8,1.75,3.3333333333333335
,,261,2.4,2.25,3.0
,,262,2.2,2.0,3.0
,,263,3.0,3.25,3.5
,,264,2.6,1.75,3.5
,,265,3.0,1.75,2.6666666666666665
,,266,3.6,3.25,2.3333333333333335
,,267,2.6,3.25,2.1666666666666665
,,268,2.0,1.75,2.8333333333333335
,,269,2.8,2.25,2.0
,,270,2.2,3.25,2.5
,,271,2.8,2.25,3.3333333333333335
,,272,2.0,3.75,2.3333333333333335
,,273,1.4,1.5,2.8333333333333335
,,274,3.8,4.0,3.5
,,275,1.8,1.25,1.8333333333333333
,,276,2.6,3.75,2.1666666666666665
,,277,2.2,1.75,2.1666666666666665
,,278,3.6,2.25,2.6666666666666665
,,279,2.2,2.5,2.3333333333333335
,,280,2.4,3.0,2.0
,,281,3.2,1.75,2.0
,,282,3.6,2.75,3.3333333333333335
,,283,2.4,2.0,2.8333333333333335
,,284,2.6,3.5,3.1666666666666665
,,285,2.2,1.75,1.6666666666666667
,,286,3.0,2.5,1.5
,,287,3.0,2.5,1.5
,,288,1.4,1.75,3.0
,,289,2.0,2.0,3.5
,,290,1.6,2.0,2.0
,,291,3.2,3.0,1.8333333333333333
,,292,2.2,2.25,3.1666666666666665
,,293,2.0,3.0,2.0
,,294,2.8,2.75,4.333333333333333
,,295,3.0,2.75,2.0
,,296,2.4,1.75,2.5
,,297,3.6,2.75,2.0
,,298,1.6,1.25,3.1666666666666665
,,299,2.8,2.5,2.8333333333333335
,,300,3.6,2.75,3.6666666666666665
,,301,2.8,2.75,2.3333333333333335
,,302,3.2,3.25,3.5
,,303,3.8,3.75,3.8333333333333335
,,304,3.2,3.25,2.3333333333333335
,,305,2.8,2.75,3.0
,,306,3.4,2.75,2.3333333333333335
,,307,2.2,3.0,2.8333333333333335
,,308,2.4,2.0,2.0
,,309,2.8,3.75,3.0
,,310,3.2,3.0,2.8333333333333335
,,311,2.0,3.0,3.0
,,312,2.4,3.25,3.1666666666666665
,,313,2.8,3.25,2.3333333333333335
,,314,2.8,1.75,2.8333333333333335
,,315,3.2,2.5,2.8333333333333335
,,316,2.0,2.75,3.0
,,317,3.0,3.0,1.1666666666666667
,,318,2.2,2.25,3.1666666666666665
,,319,3.8,2.5,2.1666666666666665
,,320,1.4,2.5,3.1666666666666665
,,321,2.8,3.25,1.8333333333333333
,,322,3.6,3.5,2.3333333333333335
,,323,4.0,4.0,1.8333333333333333
,,324,2.8,3.25,2.3333333333333335
,,325,3.0,3.5,3.0
,,326,3.8,2.75,3.0
,,327,1.4,1.25,2.3333333333333335
,,328,2.4,2.5,3.5
,,329,2.8,2.25,2.3333333333333335
,,330,2.2,3.75,1.5
,,331,2.2,2.25,2.0
,,332,1.8,1.75,2.1666666666666665
,,333,1.8,1.25,3.0
,,334,2.8,3.0,2.8333333333333335
,,335,3.0,2.75,4.333333333333333
,,336,2.0,2.5,2.6666666666666665
,,337,2.6,2.5,2.8333333333333335
,,338,2.4,3.5,3.1666666666666665
,,339,2.4,3.25,2.0
,,340,2.8,3.25,2.6666666666666665
,,341,3.4,2.75,2.1666666666666665
,,342,2.2,2.75,3.3333333333333335
,,343,2.2,2.5,2.6666666666666665
,,344,2.4,3.0,1.8333333333333333
,,345,2.8,3.5,2.8333333333333335
,,346,2.2,2.25,2.3333333333333335
,,347,3.2,2.5,3.3333333333333335
,,348,3.0,1.75,1.8333333333333333
,,349,2.4,2.25,2.5
,,350,1.6,2.0,2.3333333333333335
,,351,2.2,3.25,3.0
,,352,1.6,2.5,2.8333333333333335
,,353,2.4,3.25,2.1666666666666665
,,354,2.0,1.5,3.0
,,355,2.8,1.5,1.8333333333333333
,,356,4.0,2.5,2.6666666666666665
,,357,2.4,3.25,2.3333333333333335
,,358,3.6,2.75,3.0
,,359,2.4,1.75,2.5
,,360,2.6,2.75,3.8333333333333335
,,361,3.0,3.25,1.6666666666666667
,,362,2.4,2.75,3.3333333333333335
,,363,4.6,4.5,2.5
,,364,2.2,2.0,3.3333333333333335
,,365,4.0,3.25,2.6666666666666665
,,366,2.8,2.5,3.6666666666666665
,,367,2.8,2.5,1.8333333333333333
,,368,2.6,3.25,3.5
,,369,3.4,4.5,3.3333333333333335
,,370,2.2,2.25,2.5
,,371,4.4,2.25,2.8333333333333335
,,372,3.2,4.5,2.8333333333333335
,,373,2.6,1.5,2.8333333333333335
,,374,2.8,2.0,1.3333333333333333
,,375,3.4,2.25,2.5
,,376,2.4,2.5,1.6666666666666667
,,377,1.4,2.25,2.8333333333333335
,,378,2.4,2.75,3.0
,,379,3.0,2.75,2.6666666666666665
,,380,3.4,2.5,3.5
,,381,2.0,2.75,2.5
,,382,1.6,1.25,2.6666666666666665
,,383,3.0,3.0,2.8333333333333335
,,384,2.0,2.25,2.6666666666666665
,,385,2.4,3.5,2.3333333333333335
,,386,1.8,2.0,3.1666666666666665
,,387,3.4,2.25,2.0
,,388,2.6,3.75,1.6666666666666667
,,389,5.0,5.0,2.6666666666666665
,,390,3.0,2.25,1.3333333333333333
,,391,3.0,2.5,3.0
,,392,3.4,4.0,2.8333333333333335
,,393,2.6,2.25,2.1666666666666665
,,394,3.4,2.0,3.1666666666666665
,,395,4.0,4.25,2.0
,,396,2.8,2.75,1.5
,,397,1.8,1.5,1.8333333333333333
,,398,2.6,2.25,1.0
,,399,2.0,2.0,2.8333333333333335
,,400,2.2,2.25,2.6666666666666665
,,401,3.6,4.75,4.666666666666667
,,402,3.0,3.0,2.0
,,403,2.0,2.25,2.1666666666666665
,,404,1.4,2.5,3.3333333333333335
,,405,1.8,2.25,1.3333333333333333
,,406,2.2,2.0,2.5
,,407,3.6,2.75,2.0
,,408,2.6,2.75,2.3333333333333335
,,409,2.2,2.0,1.5
,,410,2.6,2.25,1.8333333333333333
,,411,1.8,2.0,3.3333333333333335
,,412,1.4,1.0,2.3333333333333335
,,413,3.2,1.75,4.0
,,414,2.8,2.0,2.6666666666666665
,,415,2.4,2.25,2.5
,,416,2.2,2.25,2.1666666666666665
,,417,2.2,2.75,2.8333333333333335
,,418,2.6,2.75,2.8333333333333335
,,419,1.8,1.5,2.0
,,420,2.0,3.0,2.6666666666666665
,,421,3.6,3.0,2.1666666666666665
,,422,3.8,2.25,3.6666666666666665
,,423,2.8,3.75,2.1666666666666665
,,424,2.0,2.25,2.3333333333333335
,,425,3.4,3.25,2.1666666666666665
,,426,3.0,2.25,1.8333333333333333
,,427,2.8,3.0,1.1666666666666667
,,428,3.2,2.75,2.0
,,429,3.2,1.75,2.6666666666666665
,,430,2.6,1.75,2.1666666666666665
,,431,2.6,2.5,2.1666666666666665
,,432,2.6,2.25,2.3333333333333335
,,433,2.8,2.25,2.5
,,434,2.6,2.75,2.6666666666666665
,,435,2.8,3.25,3.0
,,436,1.4,2.0,2.6666666666666665
,,437,2.8,2.0,3.6666666666666665
,,438,3.4,3.0,2.0
,,439,3.0,3.75,3.0
,,440,3.2,2.25,1.5
,,441,2.8,3.0,3.0
,,442,3.0,1.75,2.3333333333333335
,,443,2.6,3.75,2.5
,,444,3.2,2.5,1.6666666666666667
,,445,2.2,3.25,2.0
,,446,2.6,2.5,1.5
,,447,1.8,3.5,2.3333333333333335
,,448,2.6,2.25,2.0
,,449,2.0,2.5,2.3333333333333335
,,450,3.0,2.25,1.6666666666666667
,,451,2.8,2.5,2.3333333333333335
,,452,2.6,2.75,1.1666666666666667
,,453,3.4,2.5,2.6666666666666665
,,454,2.2,2.5,2.6666666666666665
,,455,3.0,3.75,2.3333333333333335
,,456,2.8,1.75,2.1666666666666665
,,457,3.4,3.75,4.333333333333333
,,458,3.2,2.25,2.8333333333333335
,,459,3.8,4.5,3.0
,,460,2.8,1.25,1.6666666666666667
,,461,3.2,2.25,3.0
,,462,1.8,2.5,2.1666666666666665
,,463,2.8,4.0,2.3333333333333335
,,464,3.4,2.5,2.1666666666666665
,,465,3.4,3.0,2.8333333333333335
,,466,2.0,1.75,1.5
,,467,2.6,2.0,1.1666666666666667
,,468,1.8,1.75,1.8333333333333333
,,469,3.0,1.75,2.3333333333333335
,,470,3.6,2.75,1.5
,,471,3.0,2.75,2.0
,,472,3.6,3.25,2.5
,,473,3.0,3.0,2.1666666666666665
,,474,2.4,2.75,1.8333333333333333
,,475,3.8,3.0,2.0
,,476,3.4,3.0,2.1666666666666665
,,477,2.4,2.75,2.8333333333333335
,,478,2.6,3.5,2.5
,,479,4.0,2.5,3.1666666666666665
,,480,2.6,2.25,3.0
,,481,2.6,2.25,2.5
,,482,2.8,3.25,1.0
,,483,3.2,1.75,3.1666666666666665
,,484,3.4,2.25,2.5
,,485,2.0,2.75,2.3333333333333335
,,486,2.2,1.75,2.1666666666666665
,,487,2.2,2.5,2.3333333333333335
,,488,2.2,2.25,2.3333333333333335
,,489,3.0,3.25,2.8333333333333335
,,490,1.8,2.75,2.3333333333333335
,,491,2.2,3.0,1.6666666666666667
,,492,2.4,3.0,1.5
,,493,1.8,2.0,3.1666666666666665
,,494,1.6,3.0,2.6666666666666665
,,495,2.6,2.0,2.1666666666666665
,,496,2.0,2.5,2.0
,,497,3.2,3.75,2.1666666666666665
,,498,2.2,2.25,2.1666666666666665
,,499,1.0,1.25,1.6666666666666667
,,500,2.6,3.25,2.1666666666666665
,,501,2.8,2.0,2.5
,,502,2.8,2.25,2.1666666666666665
,,503,2.2,1.5,2.8333333333333335
,,504,3.0,2.5,2.3333333333333335
,,505,2.8,2.5,2.5
,,506,2.6,2.25,2.8333333333333335
,,507,3.6,2.5,2.5
,,508,3.0,2.75,2.6666666666666665
,,509,3.0,2.5,3.1666666666666665
,,510,3.6,4.0,2.3333333333333335
,,511,2.2,1.75,3.3333333333333335
,,512,2.2,4.0,3.1666666666666665
,,513,3.0,3.25,4.666666666666667
,,514,4.2,3.75,2.6666666666666665
,,515,2.4,3.75,3.3333333333333335
,,516,1.2,1.0,2.1666666666666665
,,517,4.6,4.75,3.8333333333333335
,,518,1.6,1.75,3.0
,,519,4.0,3.25,3.3333333333333335
,,520,2.0,2.0,4.333333333333333
,,521,4.0,4.5,4.5
,,522,2.2,3.0,2.8333333333333335
,,523,2.6,3.5,3.6666666666666665
,,524,2.4,2.75,3.3333333333333335
,,525,3.2,3.75,2.1666666666666665
,,526,2.4,2.75,2.6666666666666665
,,527,3.8,4.25,3.3333333333333335
,,528,2.2,2.25,2.5
,,529,2.8,3.0,3.0
,,530,2.6,2.0,3.5
,,531,3.0,2.5,2.3333333333333335
,,532,3.2,4.25,3.3333333333333335
,,533,2.0,3.25,2.1666666666666665
,,534,2.4,1.75,2.0
,,535,3.4,2.5,1.6666666666666667
,,536,3.0,3.0,1.8333333333333333
,,537,3.0,2.75,3.0
,,538,3.2,3.5,2.5
,,539,2.0,1.5,2.3333333333333335
,,540,5.0,5.0,5.0
,,541,2.2,1.5,1.3333333333333333
,,542,2.0,2.75,1.6666666666666667
,,543,1.8,2.25,2.8333333333333335
,,544,3.2,1.75,2.6666666666666665
,,545,2.4,2.5,2.1666666666666665
,,546,2.6,2.0,1.8333333333333333
,,547,2.4,2.0,1.8333333333333333
,,548,2.8,3.25,2.5
,,549,2.6,2.75,2.5
,,550,3.0,2.75,3.1666666666666665
,,551,2.4,2.75,2.1666666666666665
,,552,3.0,2.0,2.1666666666666665
,,553,2.4,2.5,2.8333333333333335
,,554,2.4,2.25,2.1666666666666665
,,555,2.8,1.5,2.6666666666666665
,,556,3.2,2.0,1.6666666666666667
,,557,2.8,2.75,1.8333333333333333
,,558,2.4,1.75,2.6666666666666665
,,559,2.8,2.5,1.6666666666666667
,,560,2.2,3.5,2.8333333333333335
,,561,3.8,2.75,3.0
,,562,3.4,2.0,2.8333333333333335
,,563,3.2,3.0,2.3333333333333335
,,564,2.2,1.25,1.6666666666666667
,,565,2.8,2.5,3.0
,,566,2.6,2.25,2.8333333333333335
,,567,3.2,3.25,2.6666666666666665
,,568,3.4,2.75,1.6666666666666667
,,569,3.6,3.75,3.6666666666666665
,,570,2.4,3.0,2.1666666666666665
,,571,3.2,2.75,2.3333333333333335
,,572,3.2,2.75,2.1666666666666665
,,573,3.2,2.5,2.1666666666666665
,,574,1.8,1.5,4.0
,,575,2.2,3.0,1.8333333333333333
,,576,2.8,2.25,1.5
,,577,2.2,3.25,2.1666666666666665
,,578,3.2,2.75,2.0
,,579,3.0,3.25,2.3333333333333335
,,580,2.2,2.0,2.5
,,581,3.6,2.0,3.8333333333333335
,,582,2.4,2.5,3.5
,,583,3.0,3.0,2.1666666666666665
,,584,3.2,2.25,5.0
,,585,3.4,2.25,3.0
,,586,1.6,2.0,3.6666666666666665
,,587,3.0,3.5,2.6666666666666665
,,588,2.6,4.0,2.3333333333333335
,,589,3.4,2.75,1.5
,,590,2.4,2.5,3.5
,,591,2.0,3.25,2.8333333333333335
,,592,3.4,3.0,2.8333333333333335
,,593,2.6,2.5,3.0
,,594,3.4,2.75,3.8333333333333335
,,595,3.0,2.75,1.8333333333333333
,,596,2.2,2.75,1.6666666666666667
,,597,3.0,2.75,2.8333333333333335
,,598,2.8,2.75,3.1666666666666665
,,599,3.2,1.75,2.3333333333333335
,,600,2.4,3.25,2.3333333333333335
,,601,3.2,3.25,3.6666666666666665
,,602,3.0,3.0,2.3333333333333335
,,603,2.6,2.5,3.1666666666666665
,,604,2.4,2.75,3.0
,,605,2.8,2.25,2.1666666666666665
,,606,3.2,3.25,3.0
,,607,2.0,2.0,1.3333333333333333
,,608,3.0,3.75,2.6666666666666665
,,609,3.2,3.5,2.1666666666666665
,,610,2.4,3.25,2.1666666666666665
,,611,2.2,1.75,2.6666666666666665
,,612,3.8,3.25,2.8333333333333335
,,613,3.0,2.5,4.333333333333333
,,614,3.6,2.25,2.6666666666666665
,,615,2.0,2.25,2.3333333333333335
,,616,2.8,2.25,4.333333333333333
,,617,3.0,1.75,2.6666666666666665
,,618,3.6,2.25,3.0
,,619,2.6,2.75,2.6666666666666665
,,620,3.6,3.0,2.1666666666666665
,,621,3.0,2.75,1.8333333333333333
,,622,3.6,3.75,2.3333333333333335
,,623,3.0,3.75,1.6666666666666667
,,624,2.6,3.75,1.8333333333333333
,,625,2.6,2.75,2.8333333333333335
,,626,2.6,2.0,1.6666666666666667
,,627,1.8,2.5,2.1666666666666665
,,628,2.6,3.0,3.1666666666666665
,,629,2.0,3.5,3.1666666666666665
,,630,3.0,2.5,2.5
,,631,3.2,2.75,1.8333333333333333
,,632,3.4,2.5,3.1666666666666665
,,633,1.6,3.0,2.5
,,634,3.4,2.25,2.3333333333333335
,,635,2.0,3.25,1.6666666666666667
,,636,2.2,1.75,3.6666666666666665
,,637,2.6,2.0,1.6666666666666667
,,638,1.6,3.25,2.6666666666666665
,,639,3.8,3.5,3.0
,,640,1.4,2.25,1.5
,,641,2.2,2.25,2.5
,,642,2.8,2.75,2.1666666666666665
,,643,1.8,2.75,2.8333333333333335
,,644,2.6,3.25,3.3333333333333335
,,645,2.0,3.0,3.0
,,646,3.8,2.5,2.6666666666666665
,,647,3.4,3.25,3.0
,,648,1.8,3.0,3.1666666666666665
,,649,4.6,4.25,2.3333333333333335
,,650,1.4,1.75,2.0
,,651,3.2,3.5,2.6666666666666665
,,652,2.6,2.0,3.1666666666666665
,,653,3.8,2.75,2.6666666666666665
,,654,2.4,3.25,1.6666666666666667
,,655,4.6,4.5,3.3333333333333335
,,656,2.4,3.25,1.3333333333333333
,,657,3.8,3.75,3.1666666666666665
,,658,2.4,2.25,2.5
,,659,3.8,3.0,2.1666666666666665
,,660,2.4,1.75,3.3333333333333335
,,661,3.0,2.0,1.8333333333333333
,,662,2.4,2.75,1.6666666666666667
,,663,2.6,3.25,2.0
,,664,2.4,2.5,2.0
,,665,2.8,3.5,2.6666666666666665
,,666,3.6,2.0,3.0
,,667,2.2,3.25,4.833333333333333
,,668,3.2,2.75,2.3333333333333335
,,669,2.4,2.25,1.8333333333333333
,,670,2.4,2.0,4.833333333333333
,,671,2.4,1.25,2.0
,,672,2.8,2.25,3.1666666666666665
,,673,3.2,2.75,2.0
,,674,2.8,2.5,3.1666666666666665
,,675,1.8,1.25,2.1666666666666665
,,676,3.2,3.25,2.8333333333333335
,,677,2.4,1.75,3.1666666666666665
,,678,2.4,2.5,3.0
,,679,2.2,2.5,2.1666666666666665
,,680,2.2,1.5,3.0
,,681,3.2,2.75,2.3333333333333335
,,682,2.4,2.0,2.6666666666666665
,,683,2.2,3.0,3.5
,,684,3.2,2.75,3.5
,,685,1.6,2.5,2.8333333333333335
,,686,3.2,3.0,3.0
,,687,2.2,2.5,1.8333333333333333
,,688,1.8,3.5,3.0
,,689,2.8,3.0,3.1666666666666665
,,690,1.4,2.5,2.6666666666666665
,,691,2.8,2.75,2.5
,,692,1.4,2.0,2.8333333333333335
,,693,2.2,1.5,1.5
,,694,2.6,3.5,2.6666666666666665
,,695,3.4,2.5,2.6666666666666665
,,696,1.8,2.0,2.0
,,697,3.4,3.0,2.3333333333333335
,,698,1.8,2.25,2.3333333333333335
,,699,2.4,2.75,3.8333333333333335
,,700,2.6,2.25,2.8333333333333335
,,701,2.4,3.5,2.6666666666666665
,,702,2.0,2.5,2.0
,,703,2.8,2.75,2.3333333333333335
,,704,2.4,2.25,3.0
,,705,3.6,2.0,3.5
,,706,3.6,3.5,2.5
,,707,2.2,2.75,3.0
,,708,2.4,1.75,2.5
,,709,2.8,2.5,2.1666666666666665
,,710,3.2,2.25,2.5
,,711,2.8,3.0,2.8333333333333335
,,712,1.8,2.25,2.6666666666666665
,,713,2.0,2.25,2.6666666666666665
,,714,2.2,2.75,2.8333333333333335
,,715,2.4,2.25,2.8333333333333335
,,716,2.4,2.75,3.0
